"","type","cov.M_Atr_Z","cov.X_Atr_Z","cov.F_Atr_Z","cov.M_Rom_Z","cov.X_Rom_Z","cov.F_Rom_Z","cov.M_Ero_Z","cov.X_Ero_Z","cov.F_Ero_Z","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Atr_Z","raw",0,-0.0139358437335673,0.000559223287348143,0.103153120724281,-0.046294213850304,0.0176097124858796,0.0504234404261415,-0.022012413367121,0.00707644471791216,-3.79397809280313e-08,0.0549600678442533,-0.0125023494536818,-0.00253251663415279,-0.0230067132401248,-0.00872438159337016,0.0348437222226845,0.0458624285737255,-0.0165101108082026,0.0154767038081471,-0.0285634439942942,-0.00768178899155138,-0.0268958153754209,-0.0910945700998071,0,0
"X_Atr_Z","raw",-0.0139358437335673,0,0.032642609975922,0.0232490298920228,0.00179536703905202,-0.0363599032889717,-0.0824874362615046,-0.107851826104942,-0.0776400870995551,-0.0232446661711418,-2.07264040846811e-07,0.0385427987704422,0.012591759104356,-0.0223351016887096,-0.0133396722901869,-0.0306598358232328,-0.0451429116005166,-0.0750139954969117,-0.0738724278784806,0.0369769108498948,0.0258500129290297,0.0306721028733882,0.0962932950145857,0,0
"F_Atr_Z","raw",0.000559223287348143,0.032642609975922,0,-0.0148943621953651,-0.0301487556001239,-0.0733560994838548,-0.0154472022312751,0.00260573774385944,0.111299176487024,-0.0240779387312823,0.0417392632929523,-5.95781507961579e-07,-0.0255106804919833,0.0366903477735572,0.0279846172718725,-0.0108018152775799,0.00459296148425368,9.63852502645877e-05,0.0271829167447838,0.0124505977063404,0.000574474667578609,0.0137305305152404,0.0508688326671756,0,0
"M_Rom_Z","raw",0.103153120724281,0.0232490298920228,-0.0148943621953652,0,6.3727261304658e-06,-0.00905862509141264,0.0208902368077928,-0.0491889445957142,0.0616533145453216,0.021236704623243,0.00497748384399904,0.00459898764693634,5.37567542369111e-07,-0.0778081184451199,0.0107207894500091,0.00306114003923164,-0.0721557569396342,-0.0388270682669841,-0.0867080979606623,0.0189161724900196,-0.0189544413687259,0.0702382036437351,0.0046228840791516,0,0
"X_Rom_Z","raw",-0.046294213850304,0.00179536703905202,-0.0301487556001239,6.3727261304658e-06,0,0.014015112065224,-0.0427251618271344,-0.0243423569390349,-0.0324499427297972,-0.0344083390413765,0.0516355201316885,0.014106421773266,0.0221063552643932,-7.48242267673005e-07,0.0277824814096947,0.0877454833118033,0.0100726812841367,-0.0159644814116238,0.021115521105901,-0.0270599233842792,-0.0557635016024235,-0.0477992153758473,0.0223467308198119,0,0
"F_Rom_Z","raw",0.0176097124858796,-0.0363599032889717,-0.0733560994838548,-0.00905862509141264,0.014015112065224,0,-0.014783087340252,-0.0108135441469676,0.0566615243927504,-0.0297175418625911,-0.00119555133824301,-0.0131882618350419,0.0301203911019677,-0.0400650038747397,-9.17116195597867e-07,0.031466385298349,0.000805607053558074,0.00776906348620106,0.0238829254718478,-0.0228577582579191,0.0172157866349568,-0.0584103043525992,-0.0352027488096505,0,0
"M_Ero_Z","raw",0.0504234404261415,-0.0824874362615046,-0.0154472022312751,0.0208902368077928,-0.0427251618271344,-0.014783087340252,0,0.022932759159265,-0.0433903076600971,-0.0151524121686443,0.000269195299317987,0.0339259611641395,0.0383043024868939,0.0171194785317129,0.00905919119943957,-1.91554854464537e-07,0.0176175375023635,-0.0758950479807211,-0.0876609386962886,0.100432544465926,-0.00213267950995914,0.00848438292322017,0.0502080582326425,0,0
"X_Ero_Z","raw",-0.022012413367121,-0.107851826104942,0.00260573774385944,-0.0491889445957142,-0.0243423569390349,-0.0108135441469676,0.022932759159265,0,-0.000729022923397271,-0.00927206330589922,-0.00843422062564741,-0.0622912222602276,-0.0821599388065163,-0.0349025957052464,-0.0500725929850175,0.0931175817037226,5.08323524106569e-07,0.0175902842031706,-0.0215264197982462,-0.0360440070448551,0.0136595661616705,-0.00467536693407576,0.0164200835771766,0,0
"F_Ero_Z","raw",0.00707644471791218,-0.0776400870995551,0.111299176487024,0.0616533145453216,-0.0324499427297973,0.0566615243927504,-0.0433903076600971,-0.000729022923397271,0,0.0266207577303815,-0.127468849769167,0.00303182529286336,0.0470215736101654,0.0499769335864657,0.0966037269103164,-0.0468546435810455,-0.0201218446117797,4.90512150147504e-07,0.0659724264856368,-0.0587628314275686,-0.0396032922013975,0.00248745721299847,-0.0731905856125484,0,0
"M_Atr","raw",-3.79397809835424e-08,-0.0232446661711418,-0.0240779387312823,0.021236704623243,-0.0344083390413765,-0.0297175418625911,-0.0151524121686443,-0.00927206330589922,0.0266207577303815,0,-0.0158512559691401,-0.00691498234540233,0.104099100217141,-0.0416977026383827,0.0186047539244066,0.049881668096433,-0.0225728185174626,0.00660081980057434,0.0418040796039195,-0.0776876906999736,-0.0418437300421878,0.0301795722046924,0.0401727146390584,0,0
"X_Atr","raw",0.0549600678442532,-2.07264040846811e-07,0.0417392632929523,0.00497748384399904,0.0516355201316885,-0.00119555133824302,0.000269195299317973,-0.00843422062564741,-0.127468849769167,-0.0158512559691404,0,0.0312518136026144,0.0201735646987403,0.00808454089947137,-0.0384358846084542,-0.0859884006722603,-0.110782228116417,-0.0816881843413316,0.0017385878049162,0.0368375086967819,0.0345095969754394,-0.14699276342477,0.167441127350097,0,0
"F_Atr","raw",-0.0125023494536818,0.0385427987704422,-5.95781507906068e-07,0.00459898764693631,0.014106421773266,-0.0131882618350419,0.0339259611641395,-0.0622912222602277,0.00303182529286333,-0.00691498234540167,0.031251813602615,0,-0.0140622138177494,-0.025670574468445,-0.072480792857252,-0.0159237822931126,0.00211276697632762,0.110880784221331,-0.0470891245695245,0.0910303924614844,0.0382287765538396,0.0507592357794655,-0.133481409373919,0,0
"M_Rom","raw",-0.00253251663415283,0.012591759104356,-0.0255106804919833,5.37567542369111e-07,0.0221063552643933,0.0301203911019677,0.0383043024868939,-0.0821599388065163,0.0470215736101654,0.104099100217143,0.0201735646987414,-0.0140622138177487,0,-0.0064357515637623,-0.00883300821921595,0.0241291315810635,-0.0458386566374273,0.0644967581365284,-0.0115594368218676,-0.00245820453302843,-0.0505942286824212,-0.0194465481442947,0.0219418987122308,0,0
"X_Rom","raw",-0.0230067132401249,-0.0223351016887096,0.0366903477735572,-0.0778081184451199,-7.48242267673005e-07,-0.0400650038747396,0.0171194785317129,-0.0349025957052465,0.0499769335864657,-0.0416977026383822,0.00808454089947182,-0.0256705744684452,-0.00643575156376319,0,0.0107177034890072,-0.0436110681216411,-0.0244254404429232,-0.0345008558382018,-0.0818895123434156,0.0166141060688657,0.00234809683492515,-0.0510850866924992,0.00102376880545771,0,0
"F_Rom","raw",-0.00872438159337017,-0.0133396722901868,0.0279846172718726,0.0107207894500091,0.0277824814096947,-9.17116195597867e-07,0.00905919119943953,-0.0500725929850176,0.0966037269103163,0.0186047539244094,-0.0384358846084525,-0.0724807928572503,-0.00883300821921507,0.0107177034890092,0,-0.0113762116745984,-0.00728949803956824,0.0596524393361708,-0.00411597233456452,-0.0675733481351662,-0.0287503873045884,0.010539335759446,-0.0807084859773751,0,0
"M_Ero","raw",0.0348437222226845,-0.0306598358232329,-0.0108018152775799,0.00306114003923163,0.0877454833118033,0.031466385298349,-1.9155485445066e-07,0.0931175817037226,-0.0468546435810454,0.0498816680964331,-0.0859884006722604,-0.0159237822931119,0.0241291315810652,-0.0436110681216406,-0.0113762116745957,0,0.0233768223069797,-0.0430134240825714,-0.00424785319650206,0.0934815370582587,-0.0237520862917241,-0.0156575264662948,0.0442137670627439,0,0
"X_Ero","raw",0.0458624285737255,-0.0451429116005166,0.00459296148425369,-0.0721557569396343,0.0100726812841367,0.000805607053558047,0.0176175375023635,5.08323524134324e-07,-0.0201218446117797,-0.0225728185174632,-0.110782228116418,0.00211276697632778,-0.0458386566374262,-0.0244254404429235,-0.00728949803956619,0.0233768223069806,0,-0.000339177436015858,-0.0685626542748621,0.0151451594660542,0.0429444809732097,-0.00714448438591485,0.0416763248348242,0,0
"F_Ero","raw",-0.0165101108082026,-0.0750139954969117,9.63852502645912e-05,-0.0388270682669841,-0.0159644814116238,0.00776906348620106,-0.0758950479807211,0.0175902842031706,4.90512150140565e-07,0.00660081980057471,-0.0816881843413317,0.110880784221332,0.0644967581365301,-0.0345008558382012,0.0596524393361735,-0.0430134240825715,-0.000339177436016525,0,0.0700796686144455,-0.106139923318168,-0.0260621186297415,0.0220502339939144,-0.0877250341803089,0,0
"Inactive","raw",0.0154767038081471,-0.0738724278784806,0.0271829167447838,-0.0867080979606623,0.021115521105901,0.0238829254718478,-0.0876609386962886,-0.0215264197982462,0.0659724264856368,0.0418040796039195,0.0017385878049162,-0.0470891245695245,-0.0115594368218676,-0.0818895123434156,-0.00411597233456452,-0.00424785319650206,-0.0685626542748621,0.0700796686144455,0,-0.705783734554194,-0.043689295792292,-0.989714380499617,-0.0781976947734917,0,0
"Education","raw",-0.0285634439942942,0.0369769108498948,0.0124505977063404,0.0189161724900196,-0.0270599233842792,-0.0228577582579191,0.100432544465926,-0.0360440070448551,-0.0587628314275686,-0.0776876906999736,0.0368375086967819,0.0910303924614844,-0.00245820453302843,0.0166141060688657,-0.0675733481351662,0.0934815370582587,0.0151451594660542,-0.106139923318168,-0.705783734554194,0,-0.078646515459263,-0.049148423286085,-0.0364073014801597,0,0
"Work","raw",-0.00768178899155138,0.0258500129290297,0.000574474667578609,-0.0189544413687259,-0.0557635016024235,0.0172157866349568,-0.00213267950995914,0.0136595661616705,-0.0396032922013975,-0.0418437300421878,0.0345095969754394,0.0382287765538396,-0.0505942286824212,0.00234809683492515,-0.0287503873045884,-0.0237520862917241,0.0429444809732097,-0.0260621186297415,-0.043689295792292,-0.078646515459263,0,-0.0486031407938872,-0.0638327737976928,0,0
"Gym","raw",-0.0268958153754209,0.0306721028733882,0.0137305305152404,0.0702382036437351,-0.0477992153758473,-0.0584103043525992,0.00848438292322017,-0.00467536693407576,0.00248745721299847,0.0301795722046924,-0.14699276342477,0.0507592357794655,-0.0194465481442947,-0.0510850866924992,0.010539335759446,-0.0156575264662948,-0.00714448438591485,0.0220502339939144,-0.989714380499617,-0.049148423286085,-0.0486031407938872,0,-0.0415946373429444,0,0
"Social","raw",-0.0910945700998071,0.0962932950145857,0.0508688326671756,0.0046228840791516,0.0223467308198119,-0.0352027488096505,0.0502080582326425,0.0164200835771766,-0.0731905856125484,0.0401727146390584,0.167441127350097,-0.133481409373919,0.0219418987122308,0.00102376880545771,-0.0807084859773751,0.0442137670627439,0.0416763248348242,-0.0877250341803089,-0.0781976947734917,-0.0364073014801597,-0.0638327737976928,-0.0415946373429444,0,0,0
